Destination,FlightNumber,Code,lat,lng,country,Date,Time,Airline,Armenian,DayOfWeek,Status
Moscow,3F 312,DME,55.7558,37.6178,Russia,2023-10-17,00:30:00,Fly One,1,Tuesday,Onetime
Doha,QR 285,DOH,25.2867,51.5333,Qatar,2023-10-17,00:50:00,Qatar Airways,0,Tuesday,Onetime
Moscow,JI 103,SVO,55.7558,37.6178,Russia,2023-10-17,00:55:00,Armenian Airlines,1,Tuesday,Onetime
Moscow,G6 396,VKO,55.7558,37.6178,Russia,2023-10-17,01:20:00,Fly Arna,1,Tuesday,Onetime
Moscow,UT 785,VKO,55.7558,37.6178,Russia,2023-10-17,01:25:00,Utair,0,Tuesday,Onetime
Istanbul,PC 550,SAW,41.0136,28.955,Turkey,2023-10-17,02:35:00,Pegasus Airlines,0,Tuesday,Onetime
Warsaw,LO 727,WAW,52.23,21.0111,Poland,2023-10-17,03:20:00,LOT Polish Airlines,0,Tuesday,Onetime
Athens,A3 898,ATH,37.9842,23.7281,Greece,2023-10-17,03:20:00,Aegean Airlines,0,Tuesday,Onetime
Vienna,OS 641,VIE,48.2083,16.3725,Austria,2023-10-17,03:55:00,Austrian Airlines,0,Tuesday,Onetime
Sharm El Sheikh,SM 993,SSH,27.9158,34.3297,Egypt,2023-10-17,04:35:00,Air Cairo,0,Tuesday,Onetime
Moscow,5G 710,SVO,55.7558,37.6178,Russia,2023-10-17,05:00:00,Shirak Avia,1,Tuesday,Onetime
Batumi,JI 301,BUS,41.6458,41.6417,Georgia,2023-10-17,05:00:00,Armenian Airlines,1,Tuesday,Onetime
Moscow,SU 1966,SVO,55.7558,37.6178,Russia,2023-10-17,05:45:00,Aeroflot,0,Tuesday,Delay
Sharm El Sheikh,AMV 2112,SSH,27.9158,34.3297,Egypt,2023-10-17,06:20:00,AMC Airlines,0,Tuesday,Onetime
Abu Dhabi,5W 7013,AUH,24.4667,54.3667,United Arab Emirates,2023-10-17,08:50:00,Wizz Air,0,Tuesday,Onetime
Moscow,3F 326,VKO,55.7558,37.6178,Russia,2023-10-17,09:00:00,Fly One,1,Tuesday,Onetime
Beirut,ME 275,BEY,33.8869,35.5131,Lebanon,2023-10-17,09:45:00,Middle East Airlines,0,Tuesday,Onetime
Sochi,FV 6719,AER,43.5853,39.7203,Russia,2023-10-17,10:00:00,Rossiya Airlines,0,Tuesday,Onetime
Sharjah,G9 246,SHJ,25.3575,55.3908,United Arab Emirates,2023-10-17,11:05:00,Air Arabia,0,Tuesday,Onetime
Dubai,FZ 717,DXB,25.2631,55.2972,United Arab Emirates,2023-10-17,11:15:00,Flydubai,0,Tuesday,Onetime
St.Petersburg,3F 334,LED,59.9343,30.3351,Russia,2023-10-17,11:30:00,Fly One,1,Tuesday,Onetime
Larnaca,CY 414,LCA,34.9167,33.6333,Cyprus,2023-10-17,11:35:00,Cyprus Airways,0,Tuesday,Onetime
Moscow,SU 1860,SVO,55.7558,37.6178,Russia,2023-10-17,12:50:00,Aeroflot,0,Tuesday,Ontime
Mineralnye Vody,A4 929,MRV,44.2095,43.1053,Russia,2023-10-17,13:10:00,Azimuth,0,Tuesday,Delay
Larnaca,W6 4557,LCA,34.9167,33.6333,Cyprus,2023-10-17,14:00:00,Wizz Air,0,Tuesday,Ontime
Moscow,SU 1866,SVO,55.7558,37.6178,Russia,2023-10-17,14:10:00,Aeroflot,0,Tuesday,Ontime
Yekaterinburg,SU 684,SVX,56.8356,60.6128,Russia,2023-10-17,14:15:00,Aeroflot,0,Tuesday,Ontime
Chelyabinsk,WZ 1225,CEK,55.15,61.4,Russia,2023-10-17,14:25:00,Red WIngs,0,Tuesday,Ontime
Moscow,JI 105,SVO,55.7558,37.6178,Russia,2023-10-17,14:40:00,Armenian Airlines,1,Tuesday,Ontime
Tehran,G6 302,IKA,35.6892,51.3889,Iran,2023-10-17,15:10:00,Fly Arna,1,Tuesday,Ontime
Paris,TO 7498,ORY,48.8567,2.3522,France,2023-10-17,15:55:00,Transavia,0,Tuesday,Ontime
Kishinev,3F 1867,KIV,47.0105,28.8638,Moldova,2023-10-17,16:05:00,Fly One,1,Tuesday,Ontime
St.Petersburg,UT 793,LED,59.9343,30.3351,Russia,2023-10-17,16:15:00,Utair,0,Tuesday,Ontime
St.Petersburg,FV 6923,LED,59.9343,30.3351,Russia,2023-10-17,16:40:00,Rossiya Airlines,0,Tuesday,Ontime
Samara,WZ 1355,KUF,53.2028,50.1408,Russia,2023-10-17,17:20:00,Red WIngs,0,Tuesday,Ontime
Moscow,A4 509,VKO,55.7558,37.6178,Russia,2023-10-17,17:35:00,Azimuth,0,Tuesday,Ontime
Larnaca,3F 872,LCA,34.9167,33.6333,Cyprus,2023-10-17,17:50:00,Fly One,1,Tuesday,Ontime
Tbilisi,G6 604,TBS,41.7225,44.7925,Georgia,2023-10-17,19:05:00,Fly Arna,1,Tuesday,Ontime
Moscow,5G 510,VKO,55.7558,37.6178,Russia,2023-10-17,19:20:00,Shirak Avia,1,Tuesday,Ontime
Moscow,SU 1862,SVO,55.7558,37.6178,Russia,2023-10-17,19:45:00,Aeroflot,0,Tuesday,Ontime
Paris,AF 1060,CDG,48.8567,2.3522,France,2023-10-17,21:00:00,Air France,0,Tuesday,Ontime
Doha,QR 287,DOH,25.2867,51.5333,Qatar,2023-10-17,21:00:00,Qatar Airways,0,Tuesday,Ontime
Rome,W4 8335,FCO,41.8931,12.4828,Italy,2023-10-17,21:50:00,Wizz Air,0,Tuesday,Ontime
Larnaca,W6 4549,LCA,34.9167,33.6333,Cyprus,2023-10-17,22:10:00,Wizz Air,0,Tuesday,Ontime
Mineralnye Vody,A4 629,MRV,44.2095,43.1053,Russia,2023-10-17,22:30:00,Azimuth,0,Tuesday,Cancelled
Sochi,3F 350,AER,43.5853,39.7203,Russia,2023-10-17,22:45:00,Fly One,1,Tuesday,Ontime
Paris,3F 928,CDG,48.8567,2.3522,France,2023-10-17,22:50:00,Fly One,1,Tuesday,Ontime
Ufa,A4 821,UFA,54.7261,55.9475,Russia,2023-10-17,23:05:00,Azimuth,0,Tuesday,Ontime
Moscow,SU 1868,SVO,55.7558,37.6178,Russia,2023-10-17,23:15:00,Aeroflot,0,Tuesday,Ontime
Venice,W4 5483,VCE,45.4397,12.3319,Italy,2023-10-17,23:15:00,Wizz Air,0,Tuesday,Ontime
Kishinev,3F 534,KIV,47.0105,28.8638,Moldova,2023-10-17,23:30:00,Fly One,1,Tuesday,Ontime
Dubai,FZ 715,DXB,25.2631,55.2972,United Arab Emirates,2023-10-17,23:50:00,Flydubai,0,Tuesday,Ontime
Moscow,JI 103,SVO,55.7558,37.6178,Russia,2023-10-18,00:15:00,Armenian Airlines,1,Wednesday,Ontime
Tyumen,UT 875,TJM,57.15,65.5333,Russia,2023-10-18,00:20:00,Utair,0,Wednesday,Ontime
Sochi,A4 429,AER,43.5853,39.7203,Russia,2023-10-18,00:25:00,Azimuth,0,Wednesday,Ontime
Moscow,3F 312,DME,55.7558,37.6178,Russia,2023-10-18,00:30:00,Fly One,1,Wednesday,Ontime
Istanbul,JI 401,IST,41.0136,28.955,Turkey,2023-10-18,00:45:00,Armenian Airlines,1,Wednesday,Ontime
Doha,QR 285,DOH,25.2867,51.5333,Qatar,2023-10-18,00:50:00,Qatar Airways,0,Wednesday,Ontime
Moscow,UT 785,VKO,55.7558,37.6178,Russia,2023-10-18,01:25:00,Utair,0,Wednesday,Ontime
Antalya,PC 556,AYT,36.8874,30.7075,Turkey,2023-10-18,02:00:00,Pegasus Airlines,0,Wednesday,Ontime
Frankfurt,DE 846,FRA,50.1106,8.6822,Germany,2023-10-18,02:55:00,Condor,0,Wednesday,Ontime
Skopje,ENT 592,SKP,41.9961,21.4317,Macedonia,2023-10-18,03:05:00,Enter Air,0,Wednesday,Ontime
Athens,A3 898,ATH,37.9842,23.7281,Greece,2023-10-18,03:20:00,Aegean Airlines,0,Wednesday,Ontime
Vienna,OS 641,VIE,48.2083,16.3725,Austria,2023-10-18,03:55:00,Austrian Airlines,0,Wednesday,Ontime
Istanbul,PC 552,SAW,41.0136,28.955,Turkey,2023-10-18,04:05:00,Pegasus Airlines,0,Wednesday,Ontime
Warsaw,LO 729,WAW,52.23,21.0111,Poland,2023-10-18,04:25:00,LOT Polish Airlines,0,Wednesday,Ontime
Moscow,G6 406,DME,55.7558,37.6178,Russia,2023-10-18,04:35:00,Fly Arna,1,Wednesday,Ontime
Moscow,5G 710,SVO,55.7558,37.6178,Russia,2023-10-18,05:00:00,Shirak Avia,1,Wednesday,Ontime
Riga,BT 726,RIX,56.9489,24.1064,Latvia,2023-10-18,05:45:00,AirBaltic,0,Wednesday,Ontime
Moscow,SU 1966,SVO,55.7558,37.6178,Russia,2023-10-18,05:45:00,Aeroflot,0,Wednesday,Ontime
Abu Dhabi,5W 7013,AUH,24.4667,54.3667,United Arab Emirates,2023-10-18,08:50:00,Wizz Air,0,Wednesday,Ontime
Moscow,3F 326,VKO,55.7558,37.6178,Russia,2023-10-18,09:00:00,Fly One,1,Wednesday,Ontime
Larnaca,W6 4557,LCA,34.9167,33.6333,Cyprus,2023-10-18,09:40:00,Wizz Air,0,Wednesday,Ontime
Mineralnye Vody,FV 6933,MRV,44.2095,43.1053,Russia,2023-10-18,09:55:00,Rossiya Airlines,0,Wednesday,Ontime
Sochi,FV 6719,AER,43.5853,39.7203,Russia,2023-10-18,10:00:00,Rossiya Airlines,0,Wednesday,Ontime
Moscow,JI 101,SVO,55.7558,37.6178,Russia,2023-10-18,10:30:00,Armenian Airlines,1,Wednesday,Ontime
Moscow,SU 1869,SVO,55.7558,37.6178,Russia,2023-10-17,00:15:00,Aeroflot,0,Tuesday,Ontime
Moscow,3F 325,VKO,55.7558,37.6178,Russia,2023-10-17,01:10:00,Fly One,1,Tuesday,Ontime
St.Petersburg,3F 333,LED,59.9343,30.3351,Russia,2023-10-17,01:10:00,Fly One,1,Tuesday,Ontime
Batumi,JI 300,BUS,41.6458,41.6417,Georgia,2023-10-17,02:00:00,Armenian Airlines,1,Tuesday,Ontime
Moscow,UT 786,VKO,55.7558,37.6178,Russia,2023-10-17,02:45:00,Utair,0,Tuesday,Ontime
Doha,QR 286,DOH,25.2867,51.5333,Qatar,2023-10-17,03:50:00,Qatar Airways,0,Tuesday,Ontime
Warsaw,LO 728,WAW,52.23,21.0111,Poland,2023-10-17,04:20:00,LOT Polish Airlines,0,Tuesday,Onetime
Athens,A3 899,ATH,37.9842,23.7281,Greece,2023-10-17,04:30:00,Aegean Airlines,0,Tuesday,Onetime
Vienna,OS 642,VIE,48.2083,16.3725,Austria,2023-10-17,04:45:00,Austrian Airlines,0,Tuesday,Onetime
Sharm El Sheikh,SM 994,SSH,27.9158,34.3297,Egypt,2023-10-17,05:35:00,Air Cairo,0,Tuesday,Onetime
Moscow,JI 104,SVO,55.7558,37.6178,Russia,2023-10-17,06:05:00,Armenian Airlines,1,Tuesday,Onetime
Istanbul,PC 551,SAW,41.0136,28.955,Turkey,2023-10-17,06:35:00,Pegasus Airlines,0,Tuesday,Onetime
Moscow,SU 1967,SVO,55.7558,37.6178,Russia,2023-10-17,06:45:00,Aeroflot,0,Tuesday,Onetime
Sharm El Sheikh,AMV 2113,SSH,27.9158,34.3297,Egypt,2023-10-17,07:15:00,AMC Airlines,0,Tuesday,Onetime
Tehran,3F 691,IKA,35.6892,51.3889,Iran,2023-10-17,07:40:00,Fly One,1,Tuesday,Onetime
Abu Dhabi,5W 7014,AUH,24.4667,54.3667,United Arab Emirates,2023-10-17,09:25:00,Wizz Air,0,Tuesday,Onetime
Tbilisi,3F 583,TBS,41.7225,44.7925,Georgia,2023-10-17,09:30:00,Fly One,1,Tuesday,Onetime
Paris,AF 1061,CDG,48.8567,2.3522,France,2023-10-17,09:50:00,Air France,0,Tuesday,Onetime
Kishinev,3F 868,KIV,47.0105,28.8638,Moldova,2023-10-17,10:00:00,Fly One,1,Tuesday,Onetime
Beirut,ME 276,BEY,33.8869,35.5131,Lebanon,2023-10-17,10:45:00,Middle East Airlines,0,Tuesday,Onetime
Sochi,FV 6720,AER,43.5853,39.7203,Russia,2023-10-17,10:50:00,Rossiya Airlines,0,Tuesday,Delay
Moscow,5G 509,VKO,55.7558,37.6178,Russia,2023-10-17,11:00:00,Shirak Avia,1,Tuesday,Onetime
Tehran,G6 301,IKA,35.6892,51.3889,Iran,2023-10-17,11:30:00,Fly Arna,1,Tuesday,Onetime
Sharjah,G9 247,SHJ,25.3575,55.3908,United Arab Emirates,2023-10-17,11:55:00,Air Arabia,0,Tuesday,Onetime
Dubai,FZ 718,DXB,25.2631,55.2972,United Arab Emirates,2023-10-17,12:10:00,Flydubai,0,Tuesday,Onetime
Paris,3F 927,CDG,48.8567,2.3522,France,2023-10-17,12:30:00,Fly One,1,Tuesday,Onetime
Larnaca,CY 415,LCA,34.9167,33.6333,Cyprus,2023-10-17,12:30:00,Cyprus Airways,0,Tuesday,Onetime
Larnaca,3F 871,LCA,34.9167,33.6333,Cyprus,2023-10-17,12:50:00,Fly One,1,Tuesday,Onetime
Moscow,SU 1861,SVO,55.7558,37.6178,Russia,2023-10-17,13:50:00,Aeroflot,0,Tuesday,Onetime
Mineralnye Vody,A4 930,MRV,44.2095,43.1053,Russia,2023-10-17,14:00:00,Azimuth,0,Tuesday,Onetime
Moscow,SU 1867,SVO,55.7558,37.6178,Russia,2023-10-17,15:10:00,Aeroflot,0,Tuesday,Ontime
Yekaterinburg,SU 685,SVX,56.8356,60.6128,Russia,2023-10-17,15:15:00,Aeroflot,0,Tuesday,Delay
Moscow,WZ 4340,ZIA,55.7558,37.6178,Russia,2023-10-17,15:25:00,Red WIngs,0,Tuesday,Ontime
Moscow,JI 102,SVO,55.7558,37.6178,Russia,2023-10-17,15:45:00,Armenian Airlines,1,Tuesday,Ontime
Tbilisi,G6 603,TBS,41.7225,44.7925,Georgia,2023-10-17,16:45:00,Fly Arna,1,Tuesday,Ontime
Paris,TO 7499,ORY,48.8567,2.3522,France,2023-10-17,16:50:00,Transavia,0,Tuesday,Ontime
Moscow,3F 311,DME,55.7558,37.6178,Russia,2023-10-17,17:00:00,Fly One,1,Tuesday,Ontime
St.Petersburg,UT 794,LED,59.9343,30.3351,Russia,2023-10-17,17:15:00,Utair,0,Tuesday,Ontime
St.Petersburg,FV 6924,LED,59.9343,30.3351,Russia,2023-10-17,17:35:00,Rossiya Airlines,0,Tuesday,Ontime
Samara,WZ 1356,KUF,53.2028,50.1408,Russia,2023-10-17,18:10:00,Red WIngs,0,Tuesday,Ontime
Kishinev,3F 533,KIV,47.0105,28.8638,Moldova,2023-10-17,18:10:00,Fly One,1,Tuesday,Ontime
Moscow,A4 510,VKO,55.7558,37.6178,Russia,2023-10-17,18:25:00,Azimuth,0,Tuesday,Ontime
Sochi,3F 349,AER,43.5853,39.7203,Russia,2023-10-17,18:50:00,Fly One,1,Tuesday,Ontime
Istanbul,JI 400,IST,41.0136,28.955,Turkey,2023-10-17,19:05:00,Armenian Airlines,1,Tuesday,Ontime
Moscow,G6 405,DME,55.7558,37.6178,Russia,2023-10-17,20:20:00,Fly Arna,1,Tuesday,Ontime
Moscow,SU 1863,SVO,55.7558,37.6178,Russia,2023-10-17,20:45:00,Aeroflot,0,Tuesday,Ontime
Moscow,5G 709,SVO,55.7558,37.6178,Russia,2023-10-17,21:00:00,Shirak Avia,1,Tuesday,Ontime
Doha,QR 288,DOH,25.2867,51.5333,Qatar,2023-10-17,22:00:00,Qatar Airways,0,Tuesday,Ontime
Rome,W4 8336,FCO,41.8931,12.4828,Italy,2023-10-17,22:25:00,Wizz Air,0,Tuesday,Ontime
Larnaca,W6 4550,LCA,34.9167,33.6333,Cyprus,2023-10-17,22:45:00,Wizz Air,0,Tuesday,Ontime
Mineralnye Vody,A4 630,MRV,44.2095,43.1053,Russia,2023-10-17,23:20:00,Azimuth,0,Tuesday,Ontime
Venice,W4 5484,VCE,45.4397,12.3319,Italy,2023-10-17,23:50:00,Wizz Air,0,Tuesday,Ontime
Ufa,A4 822,UFA,54.7261,55.9475,Russia,2023-10-17,23:55:00,Azimuth,0,Tuesday,Ontime
Dubai,FZ 716,DXB,25.2631,55.2972,United Arab Emirates,2023-10-18,00:50:00,Flydubai,0,Wednesday,Ontime
Moscow,3F 325,VKO,55.7558,37.6178,Russia,2023-10-18,01:10:00,Fly One,1,Wednesday,Ontime
Sochi,A4 430,AER,43.5853,39.7203,Russia,2023-10-18,01:15:00,Azimuth,0,Wednesday,Ontime
Tyumen,UT 876,TJM,57.15,65.5333,Russia,2023-10-18,01:20:00,Utair,0,Wednesday,Ontime
Moscow,JI 100,SVO,55.7558,37.6178,Russia,2023-10-18,02:05:00,Armenian Airlines,1,Wednesday,Ontime
Moscow,UT 786,VKO,55.7558,37.6178,Russia,2023-10-18,02:45:00,Utair,0,Wednesday,Ontime
Antalya,PC 557,AYT,36.8874,30.7075,Turkey,2023-10-18,02:55:00,Pegasus Airlines,0,Wednesday,Ontime
Frankfurt,DE 847,FRA,50.1106,8.6822,Germany,2023-10-18,03:45:00,Condor,0,Wednesday,Ontime
Doha,QR 286,DOH,25.2867,51.5333,Qatar,2023-10-18,03:50:00,Qatar Airways,0,Wednesday,Ontime
Athens,A3 899,ATH,37.9842,23.7281,Greece,2023-10-18,04:30:00,Aegean Airlines,0,Wednesday,Ontime
Zurich,OAW 6843,ZRH,47.3769,8.5417,Switzerland,2023-10-18,04:30:00,Charter Flight,0,Wednesday,Ontime
Vienna,OS 642,VIE,48.2083,16.3725,Austria,2023-10-18,04:45:00,Austrian Airlines,0,Wednesday,Ontime
Warsaw,LO 730,WAW,52.23,21.0111,Poland,2023-10-18,05:30:00,LOT Polish Airlines,0,Wednesday,Ontime
Istanbul,3F 475,IST,41.0136,28.955,Turkey,2023-10-18,06:00:00,Fly One,1,Wednesday,Ontime
Riga,BT 727,RIX,56.9489,24.1064,Latvia,2023-10-18,06:40:00,AirBaltic,0,Wednesday,Ontime
Moscow,SU 1967,SVO,55.7558,37.6178,Russia,2023-10-18,06:45:00,Aeroflot,0,Wednesday,Ontime
Istanbul,PC 553,SAW,41.0136,28.955,Turkey,2023-10-18,07:15:00,Pegasus Airlines,0,Wednesday,Ontime
Moscow,G6 403,DME,55.7558,37.6178,Russia,2023-10-18,07:30:00,Fly Arna,1,Wednesday,Ontime
Sharm El Sheikh,3F 7641,SSH,27.9158,34.3297,Egypt,2023-10-18,08:00:00,Fly One,1,Wednesday,Ontime
Moscow,3F 321,VKO,55.7558,37.6178,Russia,2023-10-18,09:10:00,Fly One,1,Wednesday,Ontime
Abu Dhabi,5W 7014,AUH,24.4667,54.3667,United Arab Emirates,2023-10-18,09:25:00,Wizz Air,0,Wednesday,Ontime
Paris,DL 8723,CDG,48.8567,2.3522,France,2023-10-18,09:50:00,Delta Airlines,0,Wednesday,Ontime
Kishinev,3F 868,KIV,47.0105,28.8638,Moldova,2023-10-18,10:00:00,Fly One,1,Wednesday,Ontime
Larnaca,W6 4558,LCA,34.9167,33.6333,Cyprus,2023-10-18,10:15:00,Wizz Air,0,Wednesday,Ontime
Mineralnye Vody,FV 6934,MRV,44.2095,43.1053,Russia,2023-10-18,10:45:00,Rossiya Airlines,0,Wednesday,Ontime
Sochi,FV 6720,AER,43.5853,39.7203,Russia,2023-10-18,10:50:00,Rossiya Airlines,0,Wednesday,Ontime
Moscow,5G 509,VKO,55.7558,37.6178,Russia,2023-10-18,11:00:00,Shirak Avia,1,Wednesday,Ontime
Tbilisi,3F 584,TBS,41.7225,44.7925,Georgia,2023-10-17,11:40:00,Fly One,1,Tuesday,Onetime
Tehran,3F 692,IKA,35.6892,51.3889,Iran,2023-10-17,12:00:00,Fly One,1,Tuesday,Onetime
Dubai,FZ 717,DXB,25.2631,55.2972,United Arab Emirates,2023-10-18,11:15:00,Flydubai,0,Wednesday,Ontime
Istanbul,3F 476,IST,41.0136,28.955,Turkey,2023-10-18,11:30:00,Fly One,1,Wednesday,Ontime
Sofia,W6 4423,SOF,42.7,23.33,Bulgaria,2023-10-18,11:30:00,Wizz Air,0,Wednesday,Ontime
Moscow,WZ 4321,DME,55.7558,37.6178,Russia,2023-10-18,11:50:00,Red WIngs,0,Wednesday,Ontime
Rome,W4 8335,FCO,41.8931,12.4828,Italy,2023-10-18,12:05:00,Wizz Air,0,Wednesday,Cancelled
Moscow,SU 1860,SVO,55.7558,37.6178,Russia,2023-10-18,12:50:00,Aeroflot,0,Wednesday,Ontime
Mineralnye Vody,A4 929,MRV,44.2095,43.1053,Russia,2023-10-18,13:10:00,Azimuth,0,Wednesday,Ontime
Moscow,SU 1866,SVO,55.7558,37.6178,Russia,2023-10-18,14:10:00,Aeroflot,0,Wednesday,Ontime
Sochi,JI 123,AER,43.5853,39.7203,Russia,2023-10-18,14:40:00,Armenian Airlines,1,Wednesday,Ontime
Mineralnye Vody,3F 362,MRV,44.2095,43.1053,Russia,2023-10-18,15:00:00,Fly One,1,Wednesday,Ontime
St.Petersburg,FV 6923,LED,59.9343,30.3351,Russia,2023-10-18,15:05:00,Rossiya Airlines,0,Wednesday,Ontime
Sharm El Sheikh,3F 7642,SSH,27.9158,34.3297,Egypt,2023-10-18,15:30:00,Fly One,1,Wednesday,Ontime
Moscow,G6 404,DME,55.7558,37.6178,Russia,2023-10-18,15:45:00,Fly Arna,1,Wednesday,Ontime
Paris,TO 7498,ORY,48.8567,2.3522,France,2023-10-18,15:55:00,Transavia,0,Wednesday,Ontime
Kishinev,3F 1867,KIV,47.0105,28.8638,Moldova,2023-10-18,16:05:00,Fly One,1,Wednesday,Ontime
Vienna,W4 2891,VIE,48.2083,16.3725,Austria,2023-10-18,16:20:00,Wizz Air,0,Wednesday,Ontime
Moscow,3F 322,VKO,55.7558,37.6178,Russia,2023-10-18,17:10:00,Fly One,1,Wednesday,Ontime
Moscow,A4 509,VKO,55.7558,37.6178,Russia,2023-10-18,17:35:00,Azimuth,0,Wednesday,Ontime
Moscow,5G 510,VKO,55.7558,37.6178,Russia,2023-10-18,19:20:00,Shirak Avia,1,Wednesday,Ontime
Venice,W4 5483,VCE,45.4397,12.3319,Italy,2023-10-18,19:25:00,Wizz Air,0,Wednesday,Ontime
Moscow,SU 1862,SVO,55.7558,37.6178,Russia,2023-10-18,19:45:00,Aeroflot,0,Wednesday,Ontime
Milan,W6 5567,MXP,45.4669,9.19,Italy,2023-10-18,19:45:00,Wizz Air,0,Wednesday,Ontime
Samara,FV 6949,KUF,53.2028,50.1408,Russia,2023-10-18,19:55:00,Rossiya Airlines,0,Wednesday,Ontime
Paris,AF 1060,CDG,48.8567,2.3522,France,2023-10-18,21:00:00,Air France,0,Wednesday,Ontime
Doha,QR 287,DOH,25.2867,51.5333,Qatar,2023-10-18,21:05:00,Qatar Airways,0,Wednesday,Ontime
Sochi,WZ 4329,AER,43.5853,39.7203,Russia,2023-10-18,21:45:00,Red WIngs,0,Wednesday,Ontime
Larnaca,W6 4549,LCA,34.9167,33.6333,Cyprus,2023-10-18,22:10:00,Wizz Air,0,Wednesday,Ontime
Dortmund,W6 4425,DTM,51.5167,7.4667,Germany,2023-10-18,22:15:00,Wizz Air,0,Wednesday,Ontime
Milan,3F 246,MXP,45.4669,9.19,Italy,2023-10-18,22:20:00,Fly One,1,Wednesday,Ontime
Larnaca,CY 414,LCA,34.9167,33.6333,Cyprus,2023-10-18,22:50:00,Cyprus Airways,0,Wednesday,Ontime
Nizhny Novgorod,WZ 1347,GOJ,56.3159,43.9944,Russia,2023-10-18,23:00:00,Red WIngs,0,Wednesday,Ontime
Moscow,SU 1868,SVO,55.7558,37.6178,Russia,2023-10-18,23:15:00,Aeroflot,0,Wednesday,Ontime
Larnaca,W6 4558,LCA,34.9167,33.6333,Cyprus,2023-10-17,14:35:00,Wizz Air,0,Tuesday,Onetime
Chelyabinsk,WZ 1226,CEK,55.15,61.4,Russia,2023-10-17,15:00:00,Red WIngs,0,Tuesday,Onetime
Mineralnye Vody,3F 361,MRV,44.2095,43.1053,Russia,2023-10-18,11:20:00,Fly One,1,Wednesday,Cancelled
Sochi,JI 122,AER,43.5853,39.7203,Russia,2023-10-18,11:25:00,Armenian Airlines,1,Wednesday,Ontime
Dortmund,W6 4426,DTM,51.5167,7.4667,Germany,2023-10-18,12:05:00,Wizz Air,0,Wednesday,Ontime
Dubai,FZ 718,DXB,25.2631,55.2972,United Arab Emirates,2023-10-18,12:10:00,Flydubai,0,Wednesday,Ontime
Moscow,WZ 4322,DME,55.7558,37.6178,Russia,2023-10-18,12:40:00,Red WIngs,0,Wednesday,Ontime
Rome,W4 8336,FCO,41.8931,12.4828,Italy,2023-10-18,12:40:00,Wizz Air,0,Wednesday,Ontime
Milan,3F 245,MXP,45.4669,9.19,Italy,2023-10-18,12:50:00,Fly One,1,Wednesday,Ontime
Moscow,SU 1861,SVO,55.7558,37.6178,Russia,2023-10-18,13:50:00,Aeroflot,0,Wednesday,Ontime
Mineralnye Vody,A4 930,MRV,44.2095,43.1053,Russia,2023-10-18,14:00:00,Azimuth,0,Wednesday,Ontime
Perm,5G 776,PEE,58.0139,56.2489,Russia,2023-10-18,15:00:00,Shirak Avia,1,Wednesday,Ontime
Moscow,SU 1867,SVO,55.7558,37.6178,Russia,2023-10-18,15:10:00,Aeroflot,0,Wednesday,Ontime
Moscow,JI 102,SVO,55.7558,37.6178,Russia,2023-10-18,15:40:00,Armenian Airlines,1,Wednesday,Ontime
St.Petersburg,FV 6924,LED,59.9343,30.3351,Russia,2023-10-18,16:00:00,Rossiya Airlines,0,Wednesday,Ontime
St.Petersburg,G6 426,LED,59.9343,30.3351,Russia,2023-10-18,16:45:00,Fly Arna,1,Wednesday,Ontime
Paris,TO 7499,ORY,48.8567,2.3522,France,2023-10-18,16:50:00,Transavia,0,Wednesday,Ontime
Vienna,W4 2892,VIE,48.2083,16.3725,Austria,2023-10-18,16:55:00,Wizz Air,0,Wednesday,Ontime
Moscow,3F 311,DME,55.7558,37.6178,Russia,2023-10-18,17:00:00,Fly One,1,Wednesday,Ontime
Kishinev,3F 533,KIV,47.0105,28.8638,Moldova,2023-10-18,18:10:00,Fly One,1,Wednesday,Ontime
Moscow,A4 510,VKO,55.7558,37.6178,Russia,2023-10-18,18:25:00,Azimuth,0,Wednesday,Ontime
Venice,W4 5484,VCE,45.4397,12.3319,Italy,2023-10-18,20:00:00,Wizz Air,0,Wednesday,Ontime
Milan,W6 5568,MXP,45.4669,9.19,Italy,2023-10-18,20:25:00,Wizz Air,0,Wednesday,Ontime
Moscow,SU 1863,SVO,55.7558,37.6178,Russia,2023-10-18,20:45:00,Aeroflot,0,Wednesday,Ontime
Samara,FV 6950,KUF,53.2028,50.1408,Russia,2023-10-18,20:45:00,Rossiya Airlines,0,Wednesday,Ontime
Moscow,5G 709,SVO,55.7558,37.6178,Russia,2023-10-18,21:00:00,Shirak Avia,1,Wednesday,Ontime
Doha,QR 288,DOH,25.2867,51.5333,Qatar,2023-10-18,22:05:00,Qatar Airways,0,Wednesday,Ontime
Sochi,WZ 4330,AER,43.5853,39.7203,Russia,2023-10-18,22:35:00,Red WIngs,0,Wednesday,Ontime
Larnaca,W6 4550,LCA,34.9167,33.6333,Cyprus,2023-10-18,22:45:00,Wizz Air,0,Wednesday,Ontime
Sofia,W6 4424,SOF,42.7,23.33,Bulgaria,2023-10-18,22:50:00,Wizz Air,0,Wednesday,Ontime
Kishinev,3F 534,KIV,47.0105,28.8638,Moldova,2023-10-18,23:30:00,Fly One,1,Wednesday,Ontime
Moscow,JI 103,SVO,55.7558,37.6178,Russia,2023-10-19,00:05:00,Armenian Airlines,1,Thursday,Ontime
Perm,5G 777,PEE,58.0139,56.2489,Russia,2023-10-19,00:20:00,Shirak Avia,1,Thursday,Ontime
