Destination,FlightNumber,Code,lat,lng,country,Date,Time,Airline,Armenian,DayOfWeek,Status
Paris,3F 928,CDG,48.8567,2.3522,France,2023-10-24,22:50:00,Fly One,1,Tuesday,Ontime
Ufa,A4 821,UFA,54.7261,55.9475,Russia,2023-10-24,23:05:00,Azimuth,0,Tuesday,Ontime
Moscow,SU 1868,SVO,55.7558,37.6178,Russia,2023-10-24,23:15:00,Aeroflot,0,Tuesday,Ontime
Venice,W4 5483,VCE,45.4397,12.3319,Italy,2023-10-24,23:15:00,Wizz Air,0,Tuesday,Ontime
Kishinev,3F 534,KIV,47.0105,28.8638,Moldova,2023-10-24,23:30:00,Fly One,1,Tuesday,Ontime
Dubai,FZ 715,DXB,25.2631,55.2972,United Arab Emirates,2023-10-24,23:50:00,Flydubai,0,Tuesday,Onetime
Tyumen,UT 875,TJM,57.15,65.5333,Russia,2023-10-25,00:25:00,Utair,0,Wednesday,Onetime
Sochi,A4 429,AER,43.5853,39.7203,Russia,2023-10-25,00:25:00,Azimuth,0,Wednesday,Onetime
Moscow,3F 312,DME,55.7558,37.6178,Russia,2023-10-25,00:30:00,Fly One,1,Wednesday,Onetime
Moscow,UTA 786D,VKO,55.7558,37.6178,Russia,2023-10-24,07:00:00,Utair,0,Tuesday,Ontime
Sochi,FV 6720,AER,43.5853,39.7203,Russia,2023-10-24,10:50:00,Rossiya Airlines,0,Tuesday,Ontime
Moscow,5G 509,VKO,55.7558,37.6178,Russia,2023-10-24,11:00:00,Shirak Avia,1,Tuesday,Ontime
Tehran,G6 301,IKA,35.6892,51.3889,Iran,2023-10-24,11:30:00,Fly Arna,1,Tuesday,Ontime
Sharjah,G9 247,SHJ,25.3575,55.3908,United Arab Emirates,2023-10-24,11:55:00,Air Arabia,0,Tuesday,Ontime
Dubai,FZ 718,DXB,25.2631,55.2972,United Arab Emirates,2023-10-24,12:10:00,Flydubai,0,Tuesday,Ontime
Paris,3F 927,CDG,48.8567,2.3522,France,2023-10-24,12:30:00,Fly One,1,Tuesday,Ontime
Larnaca,CY 415,LCA,34.9167,33.6333,Cyprus,2023-10-24,12:30:00,Cyprus Airways,0,Tuesday,Ontime
Larnaca,3F 871,LCA,34.9167,33.6333,Cyprus,2023-10-24,12:50:00,Fly One,1,Tuesday,Ontime
Moscow,SU 1861,SVO,55.7558,37.6178,Russia,2023-10-24,13:50:00,Aeroflot,0,Tuesday,Ontime
Mineralnye Vody,A4 930,MRV,44.2095,43.1053,Russia,2023-10-24,14:00:00,Azimuth,0,Tuesday,Ontime
Yekaterinburg,5G 150,SVX,56.8356,60.6128,Russia,2023-10-24,14:00:00,Shirak Avia,1,Tuesday,Ontime
Larnaca,W6 4558,LCA,34.9167,33.6333,Cyprus,2023-10-24,14:35:00,Wizz Air,0,Tuesday,Ontime
Chelyabinsk,WZ 1226,CEK,55.15,61.4,Russia,2023-10-24,14:40:00,Red WIngs,0,Tuesday,Ontime
Moscow,SU 1867,SVO,55.7558,37.6178,Russia,2023-10-24,15:10:00,Aeroflot,0,Tuesday,Ontime
Yekaterinburg,SU 685,SVX,56.8356,60.6128,Russia,2023-10-24,15:15:00,Aeroflot,0,Tuesday,Ontime
Moscow,WZ 4340,ZIA,55.7558,37.6178,Russia,2023-10-24,15:25:00,Red WIngs,0,Tuesday,Ontime
Tehran,IRB 9725,IKA,35.6892,51.3889,Iran,2023-10-24,16:15:00,Iran Airtour,0,Tuesday,Ontime
Paris,TO 7499,ORY,48.8567,2.3522,France,2023-10-24,16:50:00,Transavia,0,Tuesday,Ontime
Moscow,3F 311,DME,55.7558,37.6178,Russia,2023-10-24,17:00:00,Fly One,1,Tuesday,Ontime
St.Petersburg,G6 426,LED,59.9343,30.3351,Russia,2023-10-24,17:00:00,Fly Arna,1,Tuesday,Ontime
St.Petersburg,UT 794,LED,59.9343,30.3351,Russia,2023-10-24,17:15:00,Utair,0,Tuesday,Ontime
St.Petersburg,FV 6924,LED,59.9343,30.3351,Russia,2023-10-24,17:35:00,Rossiya Airlines,0,Tuesday,Ontime
Kishinev,3F 533,KIV,47.0105,28.8638,Moldova,2023-10-24,18:10:00,Fly One,1,Tuesday,Ontime
Moscow,A4 510,VKO,55.7558,37.6178,Russia,2023-10-24,18:25:00,Azimuth,0,Tuesday,Ontime
Sochi,3F 349,AER,43.5853,39.7203,Russia,2023-10-24,18:50:00,Fly One,1,Tuesday,Cancelled
Istanbul,JI 400,IST,41.0136,28.955,Turkey,2023-10-24,19:05:00,Armenian Airlines,1,Tuesday,Ontime
Moscow,G6 405,DME,55.7558,37.6178,Russia,2023-10-24,20:20:00,Fly Arna,1,Tuesday,Ontime
Moscow,SU 1863,SVO,55.7558,37.6178,Russia,2023-10-24,20:45:00,Aeroflot,0,Tuesday,Ontime
Moscow,5G 709,SVO,55.7558,37.6178,Russia,2023-10-24,21:00:00,Shirak Avia,1,Tuesday,Ontime
Doha,QR 288,DOH,25.2867,51.5333,Qatar,2023-10-24,22:00:00,Qatar Airways,0,Tuesday,Ontime
Rome,W4 8336,FCO,41.8931,12.4828,Italy,2023-10-24,22:25:00,Wizz Air,0,Tuesday,Ontime
Larnaca,W6 4550,LCA,34.9167,33.6333,Cyprus,2023-10-24,22:45:00,Wizz Air,0,Tuesday,Ontime
Mineralnye Vody,A4 630,MRV,44.2095,43.1053,Russia,2023-10-24,23:20:00,Azimuth,0,Tuesday,Onetime
Venice,W4 5484,VCE,45.4397,12.3319,Italy,2023-10-24,23:50:00,Wizz Air,0,Tuesday,Onetime
Ufa,A4 822,UFA,54.7261,55.9475,Russia,2023-10-24,23:55:00,Azimuth,0,Tuesday,Onetime
Moscow,SU 1869,SVO,55.7558,37.6178,Russia,2023-10-25,00:15:00,Aeroflot,0,Wednesday,Onetime
Istanbul,JI 401,IST,41.0136,28.955,Turkey,2023-10-25,00:45:00,Armenian Airlines,1,Wednesday,Ontime
Doha,QR 285,DOH,25.2867,51.5333,Qatar,2023-10-25,00:50:00,Qatar Airways,0,Wednesday,Ontime
Moscow,UT 785,VKO,55.7558,37.6178,Russia,2023-10-25,01:25:00,Utair,0,Wednesday,Ontime
Antalya,PC 556,AYT,36.8874,30.7075,Turkey,2023-10-25,02:00:00,Pegasus Airlines,0,Wednesday,Ontime
Frankfurt,DE 846,FRA,50.1106,8.6822,Germany,2023-10-25,02:55:00,Condor,0,Wednesday,Ontime
St.Petersburg,G6 427,LED,59.9343,30.3351,Russia,2023-10-25,03:00:00,Fly Arna,1,Wednesday,Ontime
Athens,A3 898,ATH,37.9842,23.7281,Greece,2023-10-25,03:20:00,Aegean Airlines,0,Wednesday,Ontime
Vienna,OS 641,VIE,48.2083,16.3725,Austria,2023-10-25,03:55:00,Austrian Airlines,0,Wednesday,Ontime
Istanbul,PC 552,SAW,41.0136,28.955,Turkey,2023-10-25,04:05:00,Pegasus Airlines,0,Wednesday,Ontime
Warsaw,LO 729,WAW,52.23,21.0111,Poland,2023-10-25,04:25:00,LOT Polish Airlines,0,Wednesday,Ontime
Moscow,G6 406,DME,55.7558,37.6178,Russia,2023-10-25,04:35:00,Fly Arna,1,Wednesday,Ontime
Moscow,5G 710,SVO,55.7558,37.6178,Russia,2023-10-25,05:00:00,Shirak Avia,1,Wednesday,Ontime
Riga,BT 726,RIX,56.9489,24.1064,Latvia,2023-10-25,05:45:00,AirBaltic,0,Wednesday,Ontime
Moscow,SU 1966,SVO,55.7558,37.6178,Russia,2023-10-25,05:45:00,Aeroflot,0,Wednesday,Ontime
Abu Dhabi,5W 7013,AUH,24.4667,54.3667,United Arab Emirates,2023-10-25,08:50:00,Wizz Air,0,Wednesday,Ontime
Moscow,3F 326,VKO,55.7558,37.6178,Russia,2023-10-25,09:00:00,Fly One,1,Wednesday,Ontime
Larnaca,W6 4557,LCA,34.9167,33.6333,Cyprus,2023-10-25,09:40:00,Wizz Air,0,Wednesday,Ontime
Mineralnye Vody,FV 6933,MRV,44.2095,43.1053,Russia,2023-10-25,09:55:00,Rossiya Airlines,0,Wednesday,Ontime
Sochi,FV 6719,AER,43.5853,39.7203,Russia,2023-10-25,10:00:00,Rossiya Airlines,0,Wednesday,Ontime
Dubai,FZ 717,DXB,25.2631,55.2972,United Arab Emirates,2023-10-25,11:15:00,Flydubai,0,Wednesday,Ontime
Sochi,G6 402,AER,43.5853,39.7203,Russia,2023-10-25,11:15:00,Fly Arna,1,Wednesday,Ontime
